"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"1","11 Com b","11 Com",2,1,"Radial Velocity",2007,"Xinglong Station",323.21,1.178,NA,4914.89849,15.464,"Msini",0.238,NA,NA,0,"G8 III",4874,13.76,2.09,-0.26,2.45,"12h20m42.91s",185.1787793,"+17d47m35.71s",17.7932516,93.1846,-0.023,2.282,4.44038,"2023-08"
"2","14 And b","14 And",1,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",186.76,0.775,NA,1131.1513,3.559,"Msini",0,NA,NA,0,"K0 III",4888,11.55,1.78,-0.21,2.55,"23h31m17.80s",352.82415,"+39d14m09.01s",39.2358367,75.4392,-0.023,2.331,4.91781,"2023-08"
"3","18 Del b","18 Del",2,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",982.85,2.476,NA,2926.24614,9.207,"Msini",0.024,NA,NA,0,"G6 III",4980,8.8,2.1,-0.06,2.87,"20h58m25.88s",314.6078375,"+10d50m20.90s",10.8391378,76.222,-0.023,3.366,5.27476,"2023-08"
"4","24 Boo b","24 Boo",1,1,"Radial Velocity",2018,"Okayama Astrophysical Observatory",30.33,0.194,NA,280.64248,0.883,"Msini",0.032,NA,NA,0,"G3 IV",4816,12.19,1.05,-0.78,2.28,"14h28m37.33s",217.1555242,"+49d50m40.74s",49.8446488,95.9863,-0.001,3.159,5.3339,"2023-08"
"5","4 UMa b","4 UMa",1,1,"Radial Velocity",2006,"Thueringer Landessternwarte Tautenburg",270.27,0.877,NA,2511.48007,7.902,"Msini",0.453,NA,NA,0,"K1 III",4415,18.11,1.23,-0.25,1.8,"08h40m12.67s",130.0528099,"+64d19m40.98s",64.3280504,73.4603,-0.023,1.734,4.23773,"2023-08"
"6","55 Cnc e","55 Cnc",2,5,"Radial Velocity",2004,"McDonald Observatory",0.73654625,NA,NA,NA,NA,"",NA,NA,NA,0,"",5234,0.94,0.91,0.31,4.45,"08h52m35.24s",133.1468373,"+28d19m47.34s",28.3298154,12.5855,-0.023,4.015,5.72973,"2023-03"
"7","6 Lyn b","6 Lyn",1,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",919.86,2.028,NA,597.83523,1.881,"Msini",0.042,NA,NA,0,"K0 IV",4941,4.94,1.32,-0.17,3.16,"06h30m47.05s",97.6960311,"+58d09m40.23s",58.1611753,54.6599,-0.023,3.701,5.60686,"2023-08"
"8","75 Cet b","75 Cet",2,2,"Radial Velocity",2012,"Okayama Astrophysical Observatory",696.62,1.912,NA,787.89662,2.479,"Msini",0.093,NA,NA,0,"G3 III",4809,10.38,1.92,0.1,2.69,"02h32m09.40s",38.0391598,"-01d02m06.10s",-1.0350269,82.9613,-0.023,3.207,5.09343,"2023-08"
"9","75 Cet c","75 Cet",2,2,"Radial Velocity",2023,"Okayama Astrophysical Observatory",2051.62,3.929,NA,289.85951,0.912,"Msini",0.023,NA,NA,0,"G3 III",4809,10.38,1.92,0.1,2.69,"02h32m09.40s",38.0391598,"-01d02m06.10s",-1.0350269,82.9613,-0.023,3.207,5.09343,"2023-08"
"10","81 Cet b","81 Cet",1,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",1005.57,2.104,NA,1051.05854,3.307,"Msini",0.037,NA,NA,0,"G5 III",4734,11.21,1.23,-0.11,2.41,"02h37m41.85s",39.4243555,"-03d23m46.90s",-3.3963607,101.26,-0.023,3.266,5.37588,"2023-08"
"11","AF Lep b","AF Lep",1,1,"Imaging",2023,"Paranal Observatory",8030,8.4,NA,1017.0509,3.2,"Mass",0.24,NA,NA,0,"F8 V",6130,1.25,1.2,0.19,NA,"05h27m04.78s",81.7699216,"-11d54m04.23s",-11.9011752,26.8564,-0.035,4.926,6.18644,"2023-02"
"14","AU Mic b","AU Mic",1,3,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",8.46308,0.0649,0.353,NA,NA,"",0.00577,21.2,600,1,"",3678,0.74,0.51,0.23,4.4,"20h45m09.87s",311.2911369,"-31d20m32.82s",-31.34245,9.7221,-0.1,4.529,7.84038,"2023-12"
"16","AU Mic c","AU Mic",1,3,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",18.85882,NA,NA,14.2,0.04468,"Mass",NA,NA,NA,0,"",3665,0.82,0.6,0.12,4.52,"20h45m09.87s",311.2911369,"-31d20m32.82s",-31.34245,9.7221,-0.1,4.529,7.84038,"2023-10"
"18","AU Mic d","AU Mic",1,3,"Transit Timing Variations",2023,"Multiple Observatories",12.73596,NA,NA,1.053,0.00331,"Mass",0.00305,NA,NA,0,"",3678,0.74,0.51,0.23,4.4,"20h45m09.87s",311.2911369,"-31d20m32.82s",-31.34245,9.7221,-0.1,4.529,7.84038,"2023-12"
"19","BD+63 1405 b","BD+63 1405",1,1,"Radial Velocity",2021,"Haute-Provence Observatory",1230,2.115,NA,3305.41543,10.4,"Mass",0.891,NA,NA,0,"K0",5000,NA,0.82,-0.09,4.2,"18h05m35.50s",271.3979337,"+63d40m12.02s",63.6700064,38.0473,-0.03,6.78,8.705,"2023-05"
"20","BD-17 63 b","BD-17 63",1,1,"Radial Velocity",2008,"La Silla Observatory",649,NA,NA,1366.66215,4.3,"Mass",0.28,NA,NA,0,"",NA,NA,NA,NA,NA,"00h28m33.92s",7.1413494,"-16d13m38.37s",-16.2273254,34.4603,-0.03,6.914,9.20112,"2023-06"
"21","BD-210397 b","BD-210397",1,2,"Radial Velocity",2023,"La Silla Observatory",1891,2.63,NA,214,0.7,"Msini",0.1,0.02,NA,0,"K7 V",4051,0.75,0.68,0.12,4.67,"02h13m12.58s",33.3024198,"-21d11m46.37s",-21.1962147,23.7324,-0.03,6.504,9.25962,"2023-06"
"22","BD-210397 c","BD-210397",1,2,"Radial Velocity",2023,"La Silla Observatory",6240,5.9,NA,1525.57635,4.8,"Mass",0.43,NA,NA,0,"K7 V",NA,NA,0.69,NA,NA,"02h13m12.58s",33.3024198,"-21d11m46.37s",-21.1962147,23.7324,-0.03,6.504,9.25962,"2023-08"
"24","CoRoT-11 b","CoRoT-11",1,1,"Transit",2010,"CoRoT",2.99427803,NA,NA,NA,NA,"",NA,NA,NA,0,"F6 V",6440,1.37,1.27,-0.03,4.22,"18h42m44.95s",280.6872998,"+05d56m15.57s",5.9376586,655.037,-0.114,11.248,12.841,"2023-03"
"25","CoRoT-19 b","CoRoT-19",1,1,"Transit",2011,"CoRoT",3.8971379,NA,NA,NA,NA,"",NA,NA,NA,0,"F9 V",6090,1.65,1.21,-0.02,4.07,"06h28m08.06s",97.0335983,"-00d10m14.63s",-0.1707293,790.663,-0.149,11.837,13.7831,"2023-03"
"26","CoRoT-2 b","CoRoT-2",2,1,"Transit",2008,"CoRoT",1.74299705,NA,NA,NA,NA,"",NA,NA,NA,1,"",5696,NA,NA,0.03,4.42,"19h27m06.49s",291.7770457,"+01d23m01.19s",1.3836634,213.283,-0.092,10.31,12.2489,"2023-03"
"27","DMPP-4 b","DMPP-4",1,1,"Radial Velocity",2023,"Multiple Observatories",3.4982,0.04853,NA,12.2,0.03839,"Msini",0.063,NA,NA,0,"F5-F8 V",6400,1.38,1.25,-0.007,4.24,"19h34m19.84s",293.5826648,"+51d14m08.90s",51.2358069,25.3284,-0.023,4.494,5.60037,"2023-10"
"28","EPIC 211945201 b","EPIC 211945201",1,1,"Transit",2018,"K2",19.4921498,NA,NA,NA,NA,"",NA,NA,NA,0,"G0",6025,1.38,1.18,0.1,4.25,"09h06m17.81s",136.5741931,"+19d24m07.40s",19.4020565,181.69,-0.008,8.837,10.0512,"2023-03"
"29","EPIC 220674823 b","EPIC 220674823",1,2,"Transit",2016,"K2",0.571292,0.01326,0.154,8.21,0.02583,"Mass",0,4670,2300,0,"",5532,0.99,0.95,0.11,NA,"00h52m19.21s",13.0800239,"+10d47m40.94s",10.7947051,244.59,-0.031,10.344,11.9535,"2023-04"
"30","EPIC 220674823 c","EPIC 220674823",1,2,"Transit",2016,"K2",13.3397,0.1083,0.253,8.9,0.028,"Mass",0.13,70,805,0,"",5532,0.99,0.95,0.11,NA,"00h52m19.21s",13.0800239,"+10d47m40.94s",10.7947051,244.59,-0.031,10.344,11.9535,"2023-04"
"31","EPIC 229004835 b","EPIC 229004835",1,1,"Transit",2023,"K2",16.141132,0.1237,0.208,10.4,0.03272,"Mass",0.23,69.7,804,0,"",5868,1,0.97,-0.12,NA,"12h25m56.65s",186.4860415,"-01d24m17.00s",-1.4047214,121.971,-0.006,8.725,10.0494,"2023-04"
"32","EPIC 246851721 b","EPIC 246851721",2,1,"Transit",2018,"K2",6.1802679,NA,NA,NA,NA,"",NA,NA,NA,0,"F5 V",6202,1.59,1.32,0.141,4.16,"05h15m40.76s",78.9198197,"+16d16m43.32s",16.2786991,372.632,-0.02,9.893,11.2549,"2023-03"
"33","G 9-40 b","G 9-40",1,1,"Transit",2019,"K2",5.7459996,NA,NA,NA,NA,"",NA,NA,NA,0,"M2.5 V",3348,0.31,0.29,0.04,4.93,"08h58m52.52s",134.7188514,"+21d04m29.27s",21.0747961,27.9276,-0.044,9.19,12.7331,"2023-03"
"34","GJ 1132 b","GJ 1132",1,2,"Transit",2015,"Cerro Tololo Inter-American Observatory",1.6289304,NA,NA,NA,NA,"",NA,NA,NA,0,"M4.5 V",3270,0.21,0.18,-0.12,NA,"10h14m50.18s",153.7090696,"-47d09m17.77s",-47.1549358,12.613,-0.2,8.322,12.138,"2023-03"
"35","GJ 1151 c","GJ 1151",1,1,"Radial Velocity",2023,"Multiple Facilities",389.7,0.5714,NA,10.62,0.03341,"Msini",NA,NA,NA,0,"M 4.5V",3280,0.18,0.16,-0.12,5.09,"11h50m55.32s",177.7304866,"+48d22m23.64s",48.3732334,8.03625,-0.2,7.637,11.6938,"2023-01"
"36","GJ 1214 b","GJ 1214",1,1,"Transit",2009,"MEarth Project",1.58040457,NA,NA,NA,NA,"",NA,NA,NA,0,"",3026,0.21,0.16,NA,4.99,"17h15m19.54s",258.8313991,"+04d57m38.45s",4.9606795,14.6427,-0.2,8.782,13.0089,"2023-03"
"37","GJ 1252 b","GJ 1252",1,1,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",0.5182464,NA,NA,NA,NA,"",NA,NA,NA,0,"M3",3458,0.39,0.38,0.1,NA,"20h27m42.88s",306.9286462,"-56d27m44.23s",-56.4622865,20.373,-0.2,7.915,11.2364,"2023-03"
"38","GJ 179 b","GJ 179",1,1,"Radial Velocity",2009,"W. M. Keck Observatory",2303,2.424,NA,301.93699,0.95,"Mass",0.179,NA,NA,0,"M2 V",3370,NA,0.36,0.3,4.83,"04h52m05.89s",73.0245495,"+06d28m30.84s",6.4752347,12.356,-0.041,6.942,10.7055,"2023-05"
"39","GJ 328 b","GJ 328",1,2,"Radial Velocity",2013,"McDonald Observatory",3771,4.11,NA,797.7493,2.51,"Msini",0.227,NA,NA,0,"M0.0",3897,0.63,0.65,-0.06,4.64,"08h55m07.67s",133.7819507,"+01d32m31.20s",1.5420011,20.5266,-0.1,6.352,9.2861,"2023-09"
